"","course","ntot","nfemale","nmale","ntransfer","nfreshmen","nwhite","nasian","nblack","nhispanic","gpa","gpafemale","gpamale","gpatransfer","gpafreshmen","gpawhite","gpaasian","gpablack","gpahispanic","gradefemale","grademale","gradetransfer","gradefreshmen","gradewhite","gradeasian","gradeblack","gradehispanic"
"1","BIOL_I",8898,5593,3305,1390,7508,4522,1473,1298,651,3.02601244825545,3.09398273736045,2.91098738714675,1.54419856115108,2.45542288225892,3.16860534755153,3.00358104826341,2.74871745175039,2.86757889792627,2.78367602360093,2.67419062027231,2.34057553956835,2.81751465103889,2.87275541795666,2.8877800407332,2.39522342064715,2.47327188940092
"2","BIOL_II",5113,3124,1989,1006,4107,2603,955,619,361,2.97645561462586,3.05400290067061,2.85465686067722,1.44586878727634,2.47051838324811,3.1251609484491,2.92789655457696,2.67211534910501,2.85929165791413,2.71411651728553,2.56943187531423,2.39831013916501,2.72140248356465,2.83088743757203,2.71895287958115,2.18546042003231,2.46315789473684
"3","CHEM_I",7589,4772,2817,935,6654,3813,1488,888,494,3.11952374119594,3.189759407921,3.00054447189812,1.46662887700535,1.69572948602344,3.25946893644086,3.11987290138979,2.80125737895383,2.96455261408907,2.68612740989103,2.64408945686901,2.03016042780749,2.7605049594229,2.80889063729347,2.87264784946237,2.1463963963964,2.34028340080972
"4","CHEM_I_E",6921,1495,5426,534,6387,4131,1157,517,366,3.07165261114232,3.20573846038328,3.03470857416937,0.592215355805243,0.77318662909034,3.15447921189615,3.10369796895246,2.74798329079691,2.96651466168852,2.86026755852843,2.72078879469222,2.37771535580524,2.78211993111007,2.84199951585573,2.8990492653414,2.16247582205029,2.41939890710383
"5","CHEM_I_LAB",7012,4329,2683,997,6015,3522,1261,878,487,2.95899622086338,3.02969939257219,2.84491719353299,1.44509729187563,2.06799434746467,3.11723297407155,2.95024873451546,2.62289911755239,2.76804746721355,2.96437976437976,2.77383525903839,2.54944834503511,2.94816292601829,2.99210675752413,3.05662172878668,2.48451025056948,2.68501026694045
"6","CHEM_II",3621,2128,1493,321,3300,1732,1060,361,169,3.28287085253825,3.31450835967387,3.23777733935365,2.87303426791277,3.35858060606061,3.35644212813799,3.28495045124434,3.02985101687812,3.15714634552071,2.86311090225564,2.97702612190221,2.50529595015576,2.94945454545455,3.00594688221709,2.97622641509434,2.43296398891967,2.64556213017751
"7","CHEM_II_LAB",4550,2597,1953,869,3681,2111,1331,459,225,3.25788272873011,3.27499976858722,3.23512136031797,2.3533831990794,3.37381907090465,3.34435600559782,3.27369784618182,2.9615268964488,3.10921012935111,2.82610704659222,2.85616999487967,2.49827387802071,2.91945123607715,2.86480341070583,2.97205108940646,2.46840958605664,2.64888888888889
"8","CHEM_III",7952,4432,3520,1274,6678,3896,2065,763,398,3.21781011099007,3.26499583507942,3.15839899475028,1.51647017268446,2.99245732255166,3.30159257949127,3.24425710913753,2.90362750128834,3.10073739625126,2.68756768953069,2.8296875,2.34819466248038,2.82722371967655,2.83693531827515,2.80983050847458,2.30380078636959,2.63417085427136
"9","CHEM_III_LAB",8387,4748,3639,1411,6976,4027,2209,841,443,3.11595986753166,3.14104800833993,3.08322601412201,1.43385329553508,2.95419753440367,3.21969889947976,3.13428220122725,2.786652942478,2.94800201326185,3.0828348778433,3.03718054410552,2.75513819985826,3.12530103211009,3.10273156195679,3.17578089633318,2.77705112960761,2.95665914221219
"10","CHEM_IV",5721,3194,2527,947,4774,2674,1609,563,287,3.25148840155829,3.27991199795398,3.21556241545311,2.60396726504752,3.35922643485547,3.33597147086874,3.27657897507085,2.96387157534991,3.09188990478049,2.703819661866,2.89529085872576,2.45374868004224,2.854775869292,2.87501869857891,2.84630205096333,2.42522202486679,2.6397212543554
"11","CHEM_IV_LAB",6080,3414,2666,1024,5056,2809,1738,620,303,3.19892480140641,3.21965733456913,3.17237533845911,2.5782568359375,3.33529964398734,3.29062271145675,3.21363525361795,2.91659581846129,3.04457111471617,2.7804920913884,2.76297824456114,2.49609375,2.82885680379747,2.78686365254539,2.91012658227848,2.47290322580645,2.61551155115512
"12","ECON_I",14060,5923,8137,2238,11822,7906,1950,1387,985,3.05929398128407,3.19354227755462,2.96157336449527,1.24132618409294,2.11584173574691,3.18246324160587,3.01529491747949,2.77224687464672,2.9453332254934,2.74138105689684,2.8248740321986,2.36487935656836,2.870123498562,2.88955223880597,2.88328205128205,2.29661139149243,2.54670050761421
"13","ECON_II",7072,2610,4462,933,6139,3975,1044,654,466,3.06293237070617,3.20013209814483,2.98267883224473,1.97994640943194,2.99567747190096,3.18509444161434,2.99519787252682,2.72808329321713,2.92104267563734,2.79586206896552,2.87021515015688,2.48445873526259,2.89723081935169,2.94030188679245,2.89942528735632,2.40412844036697,2.56995708154506
"14","MATH_I",8768,4435,4333,1327,7441,4925,1033,1057,652,3.05842928147651,3.13823332366561,2.97674663040134,1.49373097211756,1.61414675446849,3.19699917440711,2.95196637573088,2.7840457291561,2.95051379821166,2.96045095828636,2.78513731825525,2.29321778447626,2.97735519419433,3.02529949238579,2.9701839303001,2.43491012298959,2.66211656441718
"15","MATH_I_E",5971,1919,4052,457,5514,3094,1080,646,388,3.03835423137515,3.17708613507243,2.97265173305454,1.61269146608315,0.971893906420022,3.1547594933914,3.03143696646481,2.8143182227291,2.87449402504897,2.65080771235018,2.54854392892399,1.99080962800875,2.630359085963,2.67905623787977,2.66712962962963,2.19860681114551,2.38917525773196
"16","MATH_II",1945,1134,811,375,1570,868,417,256,119,3.03318435745707,3.09633579991534,2.94488135406905,1.962952,2.83191974522293,3.19578825769355,2.97496330789928,2.80415222894141,2.8744534787395,3.11604938271605,2.96732429099877,2.7112,3.13592356687898,3.20264976958525,3.10743405275779,2.78984375,2.86134453781513
"17","MATH_II_E",6667,1842,4825,608,6059,3745,1252,527,360,3.11378013342058,3.21529316423073,3.07502635046674,1.45997861842105,2.06683099521373,3.19418001151081,3.07940976298243,2.84698843507211,2.98028049011389,2.62698154180239,2.52615544041451,2.12483552631579,2.59707872586235,2.61028037383178,2.58051118210863,2.24250474383302,2.38555555555556
"18","MATH_III_E",7186,1857,5329,875,6311,4141,1490,395,314,3.18281502321876,3.27216703442326,3.15167847136911,1.89056685714286,2.44690366027571,3.23922143941681,3.18471911610403,2.82538210139494,3.02331739495223,2.98766828217555,2.90185775942954,2.65245714285714,2.96168594517509,2.96582950978025,2.99624161073826,2.40632911392405,2.70828025477707
"19","MATH_IV",2398,586,1812,578,1820,1332,440,149,130,3.08013078404837,3.19995914112287,3.04137834627483,1.85406228373702,2.84996483516484,3.15994656047072,3.06825854724773,2.63072461732886,2.8048100745,2.79470989761092,2.6764348785872,2.4719723183391,2.77945054945055,2.7783033033033,2.65068181818182,2.23758389261745,2.43846153846154
"20","MATH_IV_E",5454,1222,4232,743,4711,3338,1032,245,236,3.18298596812725,3.27193486059002,3.15730176524693,2.19723149394347,3.186777329654,3.23298808845866,3.14777419474419,2.82056984682857,3.0289315235339,2.90859247135843,2.72065217391304,2.48169582772544,2.80708978985353,2.78591971240264,2.83410852713178,2.37714285714286,2.53135593220339
"21","PHYS_I",4632,2609,2023,926,3706,2304,1062,507,283,3.12207423163212,3.18986647068072,3.03464469545922,2.24606587473002,3.16483432271991,3.23036692285503,3.09800920698776,2.85996413838067,3.01813285048057,3.06328095055577,3.02822540781018,2.75788336933045,3.12045331894226,3.11471354166667,3.1680790960452,2.70098619329389,2.81236749116608
"22","PHYS_I_E",6033,1445,4588,441,5592,3592,1096,411,300,3.04210157944257,3.18382338659516,2.99746600591696,0.941952380952381,2.81869062947067,3.10920452212082,3.01778868400182,2.78069506414842,3.00372839711667,2.89688581314879,2.94592414995641,2.41995464852608,2.97473175965665,3.03084632516704,2.88768248175182,2.48272506082725,2.79333333333333
"23","PHYS_I_S",396,80,316,56,340,264,41,14,22,2.94997765782576,3.0386923977125,2.92751823000633,1.10469642857143,1.95191764705882,3.04663256132955,2.78193264268293,2.42474059892857,2.77728886736364,2.7275,2.93924050632911,2.61964285714286,2.94205882352941,2.95378787878788,2.63414634146341,2.28571428571429,2.94545454545455
"24","PHYS_II",3229,1930,1299,725,2504,1480,906,348,184,3.22418331486652,3.24831289882902,3.18833258580754,2.86187172413793,3.32473682108626,3.32783323459257,3.1855457669117,2.99036745121264,3.09710697786957,3.2759585492228,3.26866820631255,3.09572413793103,3.32436102236422,3.30581081081081,3.33962472406181,3.10287356321839,3.16902173913043
"25","PHYS_II_E",5129,1135,3994,606,4523,3122,946,305,236,3.0958038237791,3.20657703540352,3.06432470630446,1.80584158415842,3.19269113420296,3.15327480149744,3.0702925667167,2.77773756307541,3.03805491223305,2.99506607929515,2.93199799699549,2.67854785478548,2.98178200309529,3.0109865470852,2.93794926004228,2.53901639344262,2.825
"26","PHYS_II_S",451,82,369,83,368,303,58,13,28,3.07690137818847,3.21089431815854,3.04712516930623,1.47238554216867,2.6846847826087,3.12437105059406,3.09667986865517,2.73976391869231,2.76287136910714,2.81951219512195,2.93224932249323,2.6289156626506,2.97554347826087,2.95742574257426,3.01896551724138,2.23076923076923,2.84285714285714
"27","PSYC_I",9172,5289,3883,1052,8120,5009,1100,1192,703,2.96999363024858,3.07755895554396,2.82347985082874,1.04067015209125,1.74263238916256,3.13748391374127,2.9273110645,2.69159107717534,2.8114742541707,2.79750425411231,2.64375482874066,2.34619771863118,2.78245073891626,2.90193651427431,2.82945454545455,2.34253355704698,2.51137980085349
"28","SOCL_I",8014,4643,3371,1188,6826,4236,908,1305,639,2.89235746755116,3.01879083017941,2.71821623270009,1.35290488215488,1.93049882801055,3.05818714454013,2.88587766084471,2.59204641439693,2.71748040458998,3.14001723023907,2.8871551468407,2.86649831649832,3.06274538529153,3.17535410764873,3.08997797356828,2.77969348659004,2.90266040688576
"29","STAT_I",4200,2668,1532,1011,3189,2327,473,604,351,2.94131553529881,3.05793750715105,2.73821669659008,1.77400197823937,2.43754154907495,3.09187916613666,2.83133704076533,2.62113838808609,2.79371343781197,2.78886806596702,2.55992167101828,2.32937685459941,2.82455315145814,2.83695745595187,2.98012684989429,2.2612582781457,2.44472934472934
